arch,l1d,l1i,l2,num,dim,simSeconds,simTicks,simInsts,simOps,l1d-cache-0.demandHits::total,l1d-cache-0.demandMisses::total,l1i-cache-0.demandHits::total,l1i-cache-0.demandMisses::total,l2-cache-0.demandHits::total,l2-cache-0.demandMisses::total,core.cpi,core.ipc
RISCV,64,64,256,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
RISCV,32,32,256,1000000,40,0.014100,14099801000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
x86,64,32,1024,1000000,20,0.002937,2936896000,1702355,2922286,664116,338,2193632,679,620,1078,1.725110,0.579673
RISCV,64,32,1024,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
RISCV,128,32,128,1000000,40,0.014102,14102184000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643506,0.608455
x86,64,64,1024,1000000,40,0.013567,13566830000,7927896,12666523,3301021,583,10150740,687,624,1344,1.711245,0.584370
x86,128,64,512,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
RISCV,128,128,512,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
ARM,32,32,512,1000000,80,0.058571,58571372000,39188736,42408450,19239367,1831,39188253,545,5044,1217,1.494595,0.669078
ARM,128,64,1024,1000000,40,0.010420,10420035000,7021893,7837955,3299944,851,7021385,540,802,1236,1.483929,0.673887
ARM,32,128,512,1000000,80,0.058571,58571372000,39188736,42408450,19239367,1831,39188253,545,5044,1217,1.494595,0.669078
x86,32,64,256,1000000,5,0.000434,433795000,226849,414226,67148,309,298134,678,647,1004,1.911943,0.523028
ARM,32,32,1024,1000000,10,0.000619,619082000,404565,462988,154143,553,404066,521,794,864,1.530162,0.653526
x86,64,64,256,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
ARM,32,128,128,1000000,10,0.000619,619080000,404565,462988,154143,553,404066,521,794,864,1.530157,0.653528
RISCV,64,32,1024,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
ARM,64,64,512,1000000,80,0.058561,58561366000,39188736,42408450,19239967,1231,39188253,545,4057,1177,1.494339,0.669192
RISCV,32,32,1024,1000000,10,0.000870,870404000,520012,520861,177076,544,635285,426,787,834,1.673648,0.597497
x86,32,64,128,1000000,80,0.075339,75338565000,43927744,64430812,19178526,1659,55958746,691,4799,1385,1.715045,0.583075
ARM,64,32,128,1000000,5,0.000281,281354000,172171,192213,50062,512,171671,521,709,855,1.633965,0.612008
RISCV,128,64,256,1000000,5,0.000390,389661000,222458,222707,63771,502,268421,426,725,834,1.751325,0.570996
RISCV,32,64,1024,1000000,80,0.076595,76594683000,46308329,46359578,19951071,1499,56488937,444,4667,1243,1.654005,0.604593
ARM,128,128,256,1000000,80,0.058561,58560726000,39188736,42408450,19240209,989,39188253,545,1686,1216,1.494323,0.669199
x86,64,64,512,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
RISCV,128,64,128,1000000,40,0.014102,14102176000,8580401,8593250,3490203,832,10511767,441,738,1177,1.643505,0.608456
ARM,32,32,128,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
RISCV,128,64,512,1000000,10,0.000870,870133000,520012,520861,177118,502,635285,426,742,834,1.673127,0.597683
ARM,64,128,1024,1000000,5,0.000281,281354000,172171,192213,50062,512,171671,521,709,855,1.633965,0.612008
RISCV,32,128,1024,1000000,10,0.000870,870402000,520012,520861,177076,544,635285,426,787,834,1.673644,0.597499
ARM,64,64,128,1000000,20,0.002198,2198121000,1479303,1689401,649868,596,1478796,531,829,963,1.485894,0.672996
ARM,128,64,256,1000000,80,0.058561,58560726000,39188736,42408450,19240209,989,39188253,545,1686,1216,1.494323,0.669199
RISCV,128,32,128,1000000,80,0.076585,76585014000,46308329,46359578,19951757,813,56488937,444,1696,1188,1.653796,0.604669
x86,128,64,512,1000000,40,0.013567,13566668000,7927896,12666523,3301031,573,10150740,687,612,1343,1.711225,0.584377
ARM,32,64,1024,1000000,80,0.058571,58571372000,39188736,42408450,19239367,1831,39188253,545,5044,1217,1.494595,0.669078
x86,64,64,1024,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
x86,128,32,128,1000000,40,0.013567,13566670000,7927896,12666523,3301031,573,10150738,689,614,1343,1.711225,0.584377
ARM,32,64,512,1000000,10,0.000619,619080000,404565,462988,154143,553,404066,521,794,864,1.530157,0.653528
RISCV,64,64,256,1000000,10,0.000870,870250000,520012,520861,177095,525,635285,426,766,834,1.673352,0.597603
RISCV,64,32,128,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
x86,64,64,1024,1000000,80,0.075331,75331248000,43927744,64430812,19179237,948,55958746,691,3441,1448,1.714879,0.583132
x86,64,32,1024,1000000,10,0.000878,878384000,490173,881503,171070,273,637413,680,623,1002,1.791790,0.558101
RISCV,128,64,128,1000000,10,0.000870,870133000,520012,520861,177118,502,635285,426,742,834,1.673127,0.597683
RISCV,32,64,1024,1000000,40,0.014100,14099795000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
x86,64,64,128,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
ARM,32,32,256,1000000,5,0.000282,281722000,172171,192213,50024,550,171671,521,750,859,1.636102,0.611209
x86,128,32,1024,1000000,5,0.000434,433559000,226849,414226,67185,272,298132,680,609,1004,1.910903,0.523313
x86,32,64,256,1000000,80,0.075338,75337548000,43927744,64430812,19178526,1659,55958746,691,4814,1370,1.715022,0.583083
ARM,32,128,256,1000000,80,0.058571,58571372000,39188736,42408450,19239367,1831,39188253,545,5044,1217,1.494595,0.669078
x86,32,128,1024,1000000,5,0.000434,433795000,226849,414226,67148,309,298134,678,647,1004,1.911943,0.523028
RISCV,32,64,256,1000000,10,0.000870,870402000,520012,520861,177076,544,635285,426,787,834,1.673644,0.597499
ARM,128,64,256,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
RISCV,128,128,1024,1000000,10,0.000870,870133000,520012,520861,177118,502,635285,426,742,834,1.673127,0.597683
RISCV,32,64,256,1000000,80,0.076595,76594683000,46308329,46359578,19951071,1499,56488937,444,4667,1243,1.654005,0.604593
ARM,32,32,256,1000000,10,0.000619,619082000,404565,462988,154143,553,404066,521,794,864,1.530162,0.653526
ARM,128,64,128,1000000,20,0.002198,2197972000,1479303,1689401,649878,586,1478796,531,819,962,1.485793,0.673041
RISCV,32,32,1024,1000000,20,0.003061,3061195000,1863556,1866805,707126,614,2287107,425,794,904,1.642590,0.608795
RISCV,64,64,512,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
ARM,128,64,512,1000000,40,0.010420,10420035000,7021893,7837955,3299944,851,7021385,540,802,1236,1.483929,0.673887
ARM,32,64,1024,1000000,40,0.010422,10421619000,7021893,7837955,3299807,988,7021385,540,1061,1236,1.484154,0.673784
RISCV,64,64,256,1000000,40,0.014098,14098481000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
RISCV,64,64,512,1000000,80,0.076588,76588055000,46308329,46359578,19951582,988,56488937,444,3627,1243,1.653862,0.604645
ARM,32,32,256,1000000,40,0.010422,10421621000,7021893,7837955,3299807,988,7021385,540,1061,1236,1.484155,0.673784
RISCV,64,128,1024,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
ARM,32,128,512,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
x86,64,128,256,1000000,40,0.013567,13566830000,7927896,12666523,3301021,583,10150740,687,624,1344,1.711245,0.584370
x86,32,128,512,1000000,20,0.002937,2937426000,1702355,2922286,664076,378,2193634,677,666,1078,1.725421,0.579569
RISCV,64,32,1024,1000000,40,0.014098,14098485000,8580401,8593250,3490203,832,10511767,441,819,1124,1.643075,0.608615
RISCV,64,128,512,1000000,10,0.000870,870250000,520012,520861,177095,525,635285,426,766,834,1.673352,0.597603
ARM,64,128,512,1000000,40,0.010420,10420168000,7021893,7837955,3299931,864,7021385,540,817,1236,1.483948,0.673878
x86,32,64,128,1000000,5,0.000434,433795000,226849,414226,67148,309,298134,678,647,1004,1.911943,0.523028
ARM,32,64,128,1000000,5,0.000282,281722000,172171,192213,50024,550,171671,521,750,859,1.636102,0.611209
ARM,0,0,0,1000000,40,0.494730,494730137000,7021893,7837955,,,,,,,70.455069,0.014193
RISCV,32,32,128,1000000,40,0.014100,14099801000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
RISCV,32,32,512,1000000,40,0.014100,14099801000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
x86,128,64,256,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
x86,32,32,256,1000000,5,0.000434,433831000,226849,414226,67148,309,298132,680,649,1004,1.912102,0.522985
ARM,128,128,512,1000000,40,0.010420,10420035000,7021893,7837955,3299944,851,7021385,540,802,1236,1.483929,0.673887
x86,0,0,0,1000000,10,0.040054,40053752000,490173,881503,,,,,,,81.704500,0.012239
x86,128,128,1024,1000000,10,0.000878,878362000,490173,881503,171070,273,637415,678,621,1002,1.791745,0.558115
RISCV,32,32,128,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
ARM,32,32,256,1000000,20,0.002199,2198979000,1479303,1689401,649835,629,1478796,531,865,962,1.486474,0.672733
ARM,32,128,256,1000000,10,0.000619,619080000,404565,462988,154143,553,404066,521,794,864,1.530157,0.653528
RISCV,64,64,1024,1000000,80,0.076588,76588055000,46308329,46359578,19951582,988,56488937,444,3627,1243,1.653862,0.604645
RISCV,64,128,128,1000000,80,0.076589,76589059000,46308329,46359578,19951582,988,56488937,444,3608,1262,1.653884,0.604637
ARM,32,32,512,1000000,10,0.000619,619082000,404565,462988,154143,553,404066,521,794,864,1.530162,0.653526
x86,64,32,512,1000000,5,0.000434,433559000,226849,414226,67185,272,298132,680,609,1004,1.910903,0.523313
x86,32,128,128,1000000,80,0.075339,75338565000,43927744,64430812,19178526,1659,55958746,691,4799,1385,1.715045,0.583075
RISCV,32,64,256,1000000,5,0.000390,389785000,222458,222707,63730,543,268421,426,769,834,1.751882,0.570815
x86,32,128,256,1000000,80,0.075338,75337548000,43927744,64430812,19178526,1659,55958746,691,4814,1370,1.715022,0.583083
x86,64,32,256,1000000,20,0.002937,2936896000,1702355,2922286,664116,338,2193632,679,620,1078,1.725110,0.579673
x86,0,0,0,1000000,20,0.140837,140836712000,1702355,2922286,,,,,,,82.726388,0.012088
ARM,0,0,0,1000000,10,0.026833,26832887000,404565,462988,,,,,,,66.321838,0.015078
x86,128,64,512,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
ARM,128,32,1024,1000000,80,0.058561,58560726000,39188736,42408450,19240209,989,39188253,545,1686,1216,1.494323,0.669199
x86,128,128,1024,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
x86,32,32,512,1000000,10,0.000879,878761000,490173,881503,171032,311,637413,680,664,1002,1.792559,0.557862
x86,64,32,128,1000000,40,0.013567,13566832000,7927896,12666523,3301021,583,10150738,689,626,1344,1.711246,0.584370
x86,32,128,128,1000000,10,0.000879,878725000,490173,881503,171032,311,637415,678,662,1002,1.792486,0.557884
ARM,64,32,512,1000000,10,0.000619,618710000,404565,462988,154179,517,404066,521,756,860,1.529242,0.653919
