arch,l1d,l1i,l2,num,dim,simSeconds,simTicks,simInsts,simOps,l1d-cache-0.demandHits::total,l1d-cache-0.demandMisses::total,l1i-cache-0.demandHits::total,l1i-cache-0.demandMisses::total,l2-cache-0.demandHits::total,l2-cache-0.demandMisses::total,core.cpi,core.ipc
x86,128,64,512,1000000,80,0.075328,75328320000,43927744,64430812,19179460,725,55958746,691,1471,1449,1.714812,0.583154
x86,128,128,512,1000000,20,0.002937,2936777000,1702355,2922286,664116,338,2193634,677,618,1078,1.725040,0.579697
RISCV,128,64,1024,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
x86,32,32,512,1000000,5,0.000434,433831000,226849,414226,67148,309,298132,680,649,1004,1.912102,0.522985
RISCV,128,64,128,1000000,20,0.003061,3061033000,1863556,1866805,707170,570,2287107,425,743,904,1.642503,0.608827
RISCV,128,64,1024,1000000,80,0.076585,76584894000,46308329,46359578,19951757,813,56488937,444,1699,1185,1.653794,0.604670
x86,128,32,1024,1000000,20,0.002937,2936896000,1702355,2922286,664116,338,2193632,679,620,1078,1.725110,0.579673
ARM,64,32,128,1000000,10,0.000619,618853000,404565,462988,154179,517,404066,521,755,861,1.529596,0.653768
RISCV,64,32,512,1000000,5,0.000390,389785000,222458,222707,63751,522,268421,426,746,834,1.751882,0.570815
ARM,128,64,1024,1000000,10,0.000619,618710000,404565,462988,154185,511,404066,521,749,860,1.529242,0.653919
RISCV,64,128,256,1000000,80,0.076588,76588055000,46308329,46359578,19951582,988,56488937,444,3627,1243,1.653862,0.604645
x86,32,64,1024,1000000,10,0.000879,878725000,490173,881503,171032,311,637415,678,662,1002,1.792486,0.557884
RISCV,32,32,1024,1000000,40,0.014100,14099801000,8580401,8593250,3490165,870,10511767,441,850,1127,1.643228,0.608558
RISCV,64,64,512,1000000,20,0.003061,3061195000,1863556,1866805,707145,595,2287107,425,774,904,1.642590,0.608795
RISCV,32,32,512,1000000,80,0.076595,76594685000,46308329,46359578,19951071,1499,56488937,444,4667,1243,1.654005,0.604593
x86,128,128,128,1000000,5,0.000434,433545000,226849,414226,67185,272,298134,678,607,1004,1.910841,0.523330
x86,32,32,256,1000000,10,0.000879,878761000,490173,881503,171032,311,637413,680,664,1002,1.792559,0.557862
